filename,PSNR,MSE,SSIM
agricultural_0000_patch00000.png,24.6878,220.9531,0.6152
agricultural_0000_patch00001.png,24.1221,251.6906,0.5521
agricultural_0000_patch00002.png,24.1581,249.616,0.5208
agricultural_0000_patch00003.png,24.3944,236.3953,0.5237
agricultural_0000_patch00004.png,24.4747,232.0676,0.5283
agricultural_0000_patch00005.png,23.7731,272.7538,0.5589
agricultural_0000_patch00006.png,23.5454,287.4372,0.5329
agricultural_0000_patch00007.png,23.4795,291.832,0.5233
agricultural_0000_patch00008.png,23.7962,271.3085,0.5207
agricultural_0000_patch00009.png,24.1723,248.8024,0.5276
agricultural_0000_patch00010.png,23.6198,282.5552,0.5325
agricultural_0000_patch00011.png,23.4202,295.8447,0.5218
agricultural_0000_patch00012.png,23.2404,308.3463,0.5244
agricultural_0000_patch00013.png,23.3298,302.0617,0.5178
agricultural_0000_patch00014.png,23.6721,279.1727,0.5244
agricultural_0000_patch00015.png,23.728,275.6022,0.5067
agricultural_0000_patch00016.png,23.7171,276.2961,0.5059
agricultural_0000_patch00017.png,23.3409,301.2908,0.5173
agricultural_0000_patch00018.png,22.9284,331.3119,0.5124
agricultural_0000_patch00019.png,22.957,329.1424,0.5209
agricultural_0000_patch00020.png,23.568,285.9452,0.4876
agricultural_0000_patch00021.png,23.7842,272.0576,0.4949
agricultural_0000_patch00022.png,23.7193,276.1506,0.5002
agricultural_0000_patch00023.png,23.2281,309.2234,0.5059
agricultural_0000_patch00024.png,22.9654,328.5031,0.5077
agricultural_0001_patch00025.png,24.0588,255.3884,0.4964
agricultural_0001_patch00026.png,23.8166,270.0322,0.4795
agricultural_0001_patch00027.png,23.4439,294.2338,0.4715
agricultural_0001_patch00028.png,23.3271,302.2505,0.4678
agricultural_0001_patch00029.png,23.2436,308.1228,0.4786
agricultural_0001_patch00030.png,24.6766,221.5262,0.5175
agricultural_0001_patch00031.png,24.4685,232.3994,0.5033
agricultural_0001_patch00032.png,24.0186,257.7624,0.488
agricultural_0001_patch00033.png,23.7325,275.3129,0.4768
agricultural_0001_patch00034.png,23.3866,298.1427,0.4743
agricultural_0001_patch00035.png,24.7819,216.218,0.5269
agricultural_0001_patch00036.png,24.8235,214.1553,0.5199
agricultural_0001_patch00037.png,24.572,226.922,0.5156
agricultural_0001_patch00038.png,24.21,246.6468,0.5056
agricultural_0001_patch00039.png,23.7816,272.2171,0.4995
agricultural_0001_patch00040.png,24.3286,240.0074,0.5319
agricultural_0001_patch00041.png,24.6482,222.9753,0.5306
agricultural_0001_patch00042.png,24.7741,216.604,0.523
agricultural_0001_patch00043.png,24.5195,229.6828,0.5137
agricultural_0001_patch00044.png,24.1103,252.3758,0.506
agricultural_0001_patch00045.png,23.5783,285.2663,0.534
agricultural_0001_patch00046.png,23.8775,266.2725,0.5316
agricultural_0001_patch00047.png,24.1499,250.0866,0.5209
agricultural_0001_patch00048.png,24.3138,240.8249,0.5111
agricultural_0001_patch00049.png,24.1235,251.609,0.5043
agricultural_0002_patch00050.png,22.9566,329.168,0.4939
agricultural_0002_patch00051.png,23.0909,319.1478,0.4838
agricultural_0002_patch00052.png,23.2818,305.4234,0.493
agricultural_0002_patch00053.png,23.2221,309.6482,0.5017
agricultural_0002_patch00054.png,23.2975,304.3225,0.505
agricultural_0002_patch00055.png,22.6154,356.0767,0.4813
agricultural_0002_patch00056.png,22.6382,354.2082,0.4865
agricultural_0002_patch00057.png,22.8494,337.3925,0.495
agricultural_0002_patch00058.png,23.0946,318.8784,0.5075
agricultural_0002_patch00059.png,23.5216,289.0166,0.5282
agricultural_0002_patch00060.png,22.8125,340.2769,0.5013
agricultural_0002_patch00061.png,22.6385,354.1889,0.4831
agricultural_0002_patch00062.png,22.5573,360.8659,0.4851
agricultural_0002_patch00063.png,22.898,333.6432,0.5035
agricultural_0002_patch00064.png,23.564,286.206,0.5533
agricultural_0002_patch00065.png,23.5508,287.0759,0.5227
agricultural_0002_patch00066.png,22.9905,326.6072,0.4969
agricultural_0002_patch00067.png,22.5411,362.2216,0.4908
agricultural_0002_patch00068.png,22.7543,344.8653,0.5189
agricultural_0002_patch00069.png,23.3053,303.7737,0.5726
agricultural_0002_patch00070.png,24.1197,251.8305,0.5363
agricultural_0002_patch00071.png,23.7676,273.098,0.5181
agricultural_0002_patch00072.png,23.319,302.8189,0.5146
agricultural_0002_patch00073.png,23.2177,309.9661,0.5445
agricultural_0002_patch00074.png,23.2869,305.0619,0.5679
agricultural_0003_patch00075.png,24.7427,218.1764,0.5667
agricultural_0003_patch00076.png,24.6265,224.0941,0.5397
agricultural_0003_patch00077.png,24.7656,217.0301,0.5442
agricultural_0003_patch00078.png,24.9137,209.7553,0.5499
agricultural_0003_patch00079.png,24.8815,211.3127,0.5556
agricultural_0003_patch00080.png,24.0892,253.6049,0.4959
agricultural_0003_patch00081.png,24.0549,255.618,0.4963
agricultural_0003_patch00082.png,24.2042,246.979,0.4987
agricultural_0003_patch00083.png,24.3228,240.3282,0.4983
agricultural_0003_patch00084.png,24.3603,238.2613,0.5033
