filename,Bicubic_PSNR,Bicubic_MSE,Bicubic_SSIM,SRCNN_PSNR,SRCNN_MSE,SRCNN_SSIM
agricultural_0000_patch00000.png,24.6878,220.9531,0.6152,24.538,228.7089,0.58
agricultural_0000_patch00001.png,24.1221,251.6906,0.5521,24.3486,238.9024,0.5503
agricultural_0000_patch00002.png,24.1581,249.616,0.5208,24.4839,231.5741,0.5328
agricultural_0000_patch00003.png,24.3944,236.3953,0.5237,24.6819,221.253,0.5301
agricultural_0000_patch00004.png,24.4747,232.0676,0.5283,24.779,216.3638,0.5308
agricultural_0000_patch00005.png,23.7731,272.7538,0.5589,23.9691,260.72,0.5493
agricultural_0000_patch00006.png,23.5454,287.4372,0.5329,23.7853,271.9899,0.5298
agricultural_0000_patch00007.png,23.4795,291.832,0.5233,23.7836,272.097,0.5301
agricultural_0000_patch00008.png,23.7962,271.3085,0.5207,24.0952,253.2544,0.526
agricultural_0000_patch00009.png,24.1723,248.8024,0.5276,24.4527,233.2426,0.5289
agricultural_0000_patch00010.png,23.6198,282.5552,0.5325,23.8107,270.4032,0.5264
agricultural_0000_patch00011.png,23.4202,295.8447,0.5218,23.6017,283.7355,0.5126
agricultural_0000_patch00012.png,23.2404,308.3463,0.5244,23.4876,291.2846,0.524
agricultural_0000_patch00013.png,23.3298,302.0617,0.5178,23.5683,285.9267,0.519
agricultural_0000_patch00014.png,23.6721,279.1727,0.5244,23.9033,264.6978,0.5261
agricultural_0000_patch00015.png,23.728,275.6022,0.5067,23.9429,262.294,0.5041
agricultural_0000_patch00016.png,23.7171,276.2961,0.5059,23.8716,266.6352,0.499
agricultural_0000_patch00017.png,23.3409,301.2908,0.5173,23.6135,282.9659,0.5148
agricultural_0000_patch00018.png,22.9284,331.3119,0.5124,23.2143,310.2028,0.511
agricultural_0000_patch00019.png,22.957,329.1424,0.5209,23.2204,309.7677,0.5207
agricultural_0000_patch00020.png,23.568,285.9452,0.4876,23.7987,271.1482,0.4848
agricultural_0000_patch00021.png,23.7842,272.0576,0.4949,24.0274,257.2386,0.4956
agricultural_0000_patch00022.png,23.7193,276.1506,0.5002,23.9919,259.3498,0.5029
agricultural_0000_patch00023.png,23.2281,309.2234,0.5059,23.4972,290.6401,0.5035
agricultural_0000_patch00024.png,22.9654,328.5031,0.5077,23.2134,310.273,0.5064
agricultural_0001_patch00025.png,24.0588,255.3884,0.4964,24.2991,241.641,0.4964
agricultural_0001_patch00026.png,23.8166,270.0322,0.4795,23.9848,259.7766,0.4734
agricultural_0001_patch00027.png,23.4439,294.2338,0.4715,23.5499,287.1384,0.4609
agricultural_0001_patch00028.png,23.3271,302.2505,0.4678,23.4087,296.6289,0.4555
agricultural_0001_patch00029.png,23.2436,308.1228,0.4786,23.3728,299.0922,0.4691
agricultural_0001_patch00030.png,24.6766,221.5262,0.5175,24.9524,207.8924,0.5204
agricultural_0001_patch00031.png,24.4685,232.3994,0.5033,24.7038,220.1409,0.505
agricultural_0001_patch00032.png,24.0186,257.7624,0.488,24.1941,247.5535,0.4869
agricultural_0001_patch00033.png,23.7325,275.3129,0.4768,23.8426,268.4249,0.4721
agricultural_0001_patch00034.png,23.3866,298.1427,0.4743,23.5455,287.4259,0.4692
agricultural_0001_patch00035.png,24.7819,216.218,0.5269,25.1087,200.5438,0.5381
agricultural_0001_patch00036.png,24.8235,214.1553,0.5199,25.1229,199.8903,0.5305
agricultural_0001_patch00037.png,24.572,226.922,0.5156,24.7774,216.443,0.5212
agricultural_0001_patch00038.png,24.21,246.6468,0.5056,24.3759,237.4058,0.5076
agricultural_0001_patch00039.png,23.7816,272.2171,0.4995,23.9676,260.8099,0.4968
agricultural_0001_patch00040.png,24.3286,240.0074,0.5319,24.6876,220.9637,0.5488
agricultural_0001_patch00041.png,24.6482,222.9753,0.5306,24.9973,205.7548,0.5472
agricultural_0001_patch00042.png,24.7741,216.604,0.523,25.1191,200.0648,0.5393
agricultural_0001_patch00043.png,24.5195,229.6828,0.5137,24.8141,214.6186,0.5248
agricultural_0001_patch00044.png,24.1103,252.3758,0.506,24.4616,232.7691,0.5162
agricultural_0001_patch00045.png,23.5783,285.2663,0.534,23.8977,265.042,0.5465
agricultural_0001_patch00046.png,23.8775,266.2725,0.5316,24.1858,248.0291,0.5433
agricultural_0001_patch00047.png,24.1499,250.0866,0.5209,24.4297,234.4844,0.5335
agricultural_0001_patch00048.png,24.3138,240.8249,0.5111,24.5323,229.0085,0.5169
agricultural_0001_patch00049.png,24.1235,251.609,0.5043,24.411,235.4948,0.5118
agricultural_0002_patch00050.png,22.9566,329.168,0.4939,23.2258,309.3887,0.4919
agricultural_0002_patch00051.png,23.0909,319.1478,0.4838,23.382,298.4571,0.483
agricultural_0002_patch00052.png,23.2818,305.4234,0.493,23.6672,279.4868,0.4992
agricultural_0002_patch00053.png,23.2221,309.6482,0.5017,23.5964,284.0769,0.507
